45.0,46.05,44.0,1514.0,13.0,66.75,44.0
42.45,45.9,42.25,300.0,6.0,12.86,45.9
43.65,46.65,43.65,382.0,7.0,16.82,46.65
44.35,44.35,44.35,50.0,1.0,2.22,44.35
43.4,46.2,43.35,90.0,4.0,4.04,46.2
44.0,46.2,44.0,80.0,4.0,3.63,46.2
44.05,46.6,44.0,117.0,12.0,5.28,46.5
44.25,46.0,44.2,1561.0,22.0,69.26,45.8
43.6,46.15,43.55,2666.0,20.0,116.62,44.5
46.65,46.65,46.65,50.0,2.0,2.33,46.65
46.65,46.95,44.35,90.0,4.0,4.16,46.95
44.65,46.9,44.65,368.0,12.0,16.61,46.85
44.8,46.8,44.55,841.0,19.0,37.66,46.8
44.65,46.9,44.65,56.0,3.0,2.61,46.9
46.0,46.8,46.0,100.0,2.0,4.64,46.8
44.6,46.85,44.55,238.0,11.0,10.74,46.85
44.9,46.75,44.7,357.0,7.0,15.99,46.75
43.25,47.0,43.2,79.0,6.0,3.51,46.85
42.85,46.8,42.85,2157.0,31.0,94.47,43.7
44.0,46.0,42.5,1073.0,24.0,46.17,42.55
44.0,44.95,41.5,1109.0,92.0,46.54,41.5
44.7,44.95,41.65,352.0,18.0,15.04,42.9
44.9,44.95,41.35,200.0,10.0,8.46,42.9
44.85,44.9,41.0,306.0,9.0,12.88,42.8
45.0,45.0,41.15,2080.0,50.0,87.56,43.25
44.75,44.8,41.65,267.0,65.0,11.29,42.05
44.0,44.0,42.0,181.0,78.0,7.71,42.0
44.0,44.0,41.5,58.0,3.0,2.42,41.5
44.0,44.0,41.0,1151.0,63.0,48.32,41.35
44.0,44.0,42.0,415.0,7.0,17.45,43.7
43.95,43.95,41.55,574.0,6.0,24.19,42.1
45.0,45.0,41.4,671.0,13.0,28.07,42.5
45.0,45.0,42.1,260.0,15.0,11.33,43.8
43.8,46.0,41.15,440.0,11.0,18.87,42.0
46.0,46.0,42.0,54.0,4.0,2.35,44.9
46.0,46.0,42.1,455.0,12.0,19.69,44.0
46.0,46.0,42.0,165.0,7.0,7.09,45.3
45.35,45.35,42.4,10305.0,9.0,458.22,42.65
45.95,45.95,43.0,165.0,6.0,7.15,45.25
45.95,45.95,42.7,45.0,4.0,1.98,44.75
44.95,45.0,42.05,65.0,6.0,2.81,42.05
42.15,45.0,42.15,20754.0,16.0,931.81,44.9
45.5,46.3,45.0,52.0,4.0,2.39,46.3
45.95,45.95,43.05,5032.0,11.0,226.31,45.0
45.0,45.0,43.05,252.0,13.0,10.95,43.6
45.0,45.0,43.0,1100.0,11.0,47.49,44.0
45.0,45.0,43.0,1368.0,33.0,59.13,43.65
44.5,45.0,43.0,489.0,14.0,21.2,43.0
44.95,44.95,44.0,215.0,6.0,9.51,44.5
44.5,45.0,43.5,260.0,11.0,11.48,43.5
44.5,45.0,44.0,55.0,4.0,2.43,45.0
45.0,45.0,45.0,10.0,2.0,0.45,45.0
44.0,44.0,43.0,403.0,11.0,17.33,43.0
44.5,45.0,43.1,300.0,15.0,13.33,44.4
45.15,46.05,43.0,592.0,7.0,25.55,43.1
44.5,45.0,44.0,33.0,4.0,1.48,44.75
45.25,45.25,43.65,232.0,13.0,10.33,44.5
45.0,45.5,43.0,320.0,20.0,13.93,44.1
42.0,45.0,42.0,761.0,28.0,32.77,43.0
43.0,45.45,43.0,524.0,23.0,22.66,43.25
44.0,45.0,43.2,16226.0,29.0,714.38,44.85
47.1,47.1,43.25,1624.0,36.0,70.74,44.45
45.0,45.0,43.0,328.0,20.0,14.16,43.25
44.0,46.0,43.0,16598.0,18.0,740.6,43.1
46.0,46.0,44.5,10642.0,22.0,476.56,44.9
45.9,46.0,45.0,1709.0,16.0,77.35,45.0
43.05,48.0,43.05,137.0,13.0,6.14,43.55
44.1,45.5,44.1,554.0,8.0,24.52,44.25
43.0,46.0,43.0,16294.0,13.0,732.91,45.0
45.9,45.9,43.55,30.0,3.0,1.35,45.45
46.0,46.0,43.3,136.0,13.0,6.02,43.55
47.5,49.0,44.0,2429.0,62.0,111.82,44.8
47.0,47.0,43.0,4944.0,40.0,213.63,43.1
45.45,48.2,43.0,1866.0,31.0,82.52,44.95
45.5,47.9,43.0,2527.0,41.0,116.34,47.0
46.0,46.1,45.15,217.0,10.0,9.99,46.1
46.0,46.0,44.0,185.0,16.0,8.29,45.35
44.2,45.05,44.2,230.0,7.0,10.31,45.0
44.1,46.5,44.1,383.0,11.0,17.47,46.5
